Date,open,high,low,close,volume,market_cap,year_week
2017-04-21,1263.07982559,1272.1758509366666,1247.4935036866666,1264.2342470333333,53705.16698146667,67896206.005903,2017-week(16)
2017-04-24,1263.80346165,1269.62891992,1253.34714132,1266.61463862,46739.98302884,59201546.71325459,2017-week(17)
2017-04-25,1266.17037211,1287.65595158,1263.39780951,1281.67042656,54584.12897952,69958863.87272197,2017-week(17)
2017-04-26,1282.56679032,1319.56550723,1282.28076051,1305.1669872,76047.34018738,99254477.87671322,2017-week(17)
2017-04-27,1305.42085257,1346.99984094,1302.58325959,1343.60026802,78106.60806698,104944059.53262857,2017-week(17)
2017-04-28,1342.544521366667,1358.37801882,1321.3485775666666,1348.6990253566667,62817.260155230004,84619123.25262518,2017-week(17)
2017-05-01,1360.15333076,1456.73679208,1357.61834071,1436.5809052,113082.61465875,162452324.928312,2017-week(18)
2017-05-02,1434.09009238,1492.02951953,1427.95225044,1463.71336348,86077.94213154,125993434.19872458,2017-week(18)
2017-05-03,1464.04600159,1507.92388267,1452.01450649,1503.25160472,99121.64288759,149004768.73290822,2017-week(18)
2017-05-04,1504.84231151,1608.72373432,1452.22918557,1526.87858014,162945.53954139,248798054.05569696,2017-week(18)
2017-05-05,1529.03785941,1573.0039354133332,1515.4943903566666,1541.8045267266668,89221.00353331333,137000478.29243526,2017-week(18)
2017-05-08,1563.79192405,1662.30967723,1563.79192405,1662.30967723,120124.91371099,199684806.53848085,2017-week(19)
2017-05-09,1662.36593404,1763.7104976,1642.4563151,1709.00066229,140857.76640973,240726016.08347327,2017-week(19)
2017-05-10,1711.00112927,1766.06845561,1686.08607197,1754.02719686,113231.90794387,198611846.08564025,2017-week(19)
2017-05-11,1754.87306913,1851.42201678,1737.0552721,1821.65899311,122540.17437781,223226410.6723999,2017-week(19)
2017-05-12,1763.8842434633334,1802.8403897699998,1675.5944003366667,1749.9246550533335,84233.59077737668,146298951.26237068,2017-week(19)
2017-05-15,1784.81842932,1785.54435334,1681.31851812,1722.56311699,89770.92835357,154636090.15995887,2017-week(20)
2017-05-16,1719.53884606,1751.41143067,1680.24812101,1731.92065181,91754.00299532,158910652.67363897,2017-week(20)
2017-05-17,1731.01711567,1834.76871308,1713.19169924,1808.62618643,114292.03556312,206711568.41941065,2017-week(20)
2017-05-18,1808.83014253,1884.64135936,1803.08627131,1882.8598286,93672.74893478,176372656.0039755,2017-week(20)
2017-05-19,1961.4547955233331,2031.5508983133334,1945.9353842399998,2014.073689386667,91883.77034244,184762233.00009227,2017-week(20)
2017-05-22,2036.2059219,2242.35379892,2017.91441202,2117.01564781,179591.45788741,380197926.5613815,2017-week(21)
2017-05-23,2112.32784614,2264.73683509,2112.32784614,2259.96099725,119168.69053248,269316592.69704354,2017-week(21)
2017-05-24,2264.50246142,2479.89648446,2264.50246142,2439.0727155,152717.9811727,372490261.04434097,2017-week(21)
